id,name,platform,release_date,genre,publisher,developer
1,The Legend of Zelda: Breath of the Wild,Nintendo Switch,2017-03-03,Action-adventure,Nintendo,Nintendo EPD
2,God of War,PlayStation 4,2018-04-20,Action-adventure,Sony Interactive Entertainment,Santa Monica Studio
3,Red Dead Redemption 2,PlayStation 4,2018-10-26,Action-adventure,Rockstar Games,Rockstar Studios
4,Red Dead Redemption 2,Xbox One,2018-10-26,Action-adventure,Rockstar Games,Rockstar Studios
5,Red Dead Redemption 2,PC,2018-10-26,Action-adventure,Rockstar Games,Rockstar Studios
6,The Witcher 3: Wild Hunt,PlayStation 4,2015-05-19,Action RPG,CD Projekt Red,CD Projekt Red
7,The Witcher 3: Wild Hunt,Xbox One,2015-05-19,Action RPG,CD Projekt Red,CD Projekt Red
8,The Witcher 3: Wild Hunt,PC,2015-05-19,Action RPG,CD Projekt Red,CD Projekt Red
9,Hades,PC,2020-09-17,Rogue-like dungeon crawler,Supergiant Games,Supergiant Games
10,Hades,Nintendo Switch,2020-09-17,Rogue-like dungeon crawler,Supergiant Games,Supergiant Games
11,Cyberpunk 2077,PlayStation 4,2020-12-10,Action RPG,CD Projekt Red,CD Projekt Red
12,Cyberpunk 2077,Xbox One,2020-12-10,Action RPG,CD Projekt Red,CD Projekt Red
13,Cyberpunk 2077,PC,2020-12-10,Action RPG,CD Projekt Red,CD Projekt Red
14,Animal Crossing: New Horizons,Nintendo Switch,2020-03-20,Social simulation,Nintendo,Nintendo EPD
15,Doom Eternal,PlayStation 4,2020-03-20,First-person shooter,Bethesda Softworks,id Software
16,Doom Eternal,Xbox One,2020-03-20,First-person shooter,Bethesda Softworks,id Software
17,Doom Eternal,PC,2020-03-20,First-person shooter,Bethesda Softworks,id Software
18,Final Fantasy VII Remake,PlayStation 4,2020-04-10,Action RPG,Square Enix,Square Enix Creative Business Unit III
19,Ghost of Tsushima,PlayStation 4,2020-07-17,Action-adventure,Sony Interactive Entertainment,Sucker Punch Productions
